"","country","iso3","year","pop_total","pop_rural","pop_urban","pop_male","pop_female","gdp_usd","area_km2","pais","un","jmp_lac","latinosan","sids","iadb_b"
"1","Antigua and Barbuda","ATG",2020,"97928","74001","23927","47269","50659","1370281481.4814799","440","Antigua y Barbuda",1,1,1,1,0
"2","Argentina","ARG",2020,"45376763","3579773","41796990","22137442","23239321","389591035520.67499","2736690","Argentina",1,1,1,0,0
"3","Aruba","ABW",2020,"106766","60112","46654","50642","56124","2496648044.69274","180","Aruba",0,1,0,1,0
"5","Barbados","BRB",2020,"287371","197737","89634","139084","148287","4689534961.7595596","430","Barbados",1,1,1,1,1
"6","Belize","BLZ",2020,"397621","214616","183005","197761","199860","1585631670.3461001","22810","Belice",1,1,1,1,1
"7","Bolivia","BOL",2020,"11673029","3487551","8185478","5858019","5815010","36629843806.078102","1083300","Bolivia",1,1,1,0,1
"8","Brazil","BRA",2020,"212559409","27477555","185081854","104435783","108123626","1448565936739.5601","8358140","Brasil",1,1,1,0,1
"9","British Virgin Islands","VGB",2020,"30237","15568","14669","..","..","..","150","Islas Vírgenes Británicas",0,1,0,1,0
"11","Cayman Islands","CYM",2020,"65720","0","65720","..","..","5608989195.5291996","240","Islas Caimán",0,1,0,0,0
"13","Chile","CHL",2020,"19116209","2346132","16770077","9425669","9690540","252727193710.01801","743532","Chile",1,1,1,0,1
"14","Colombia","COL",2020,"50882884","9451496","41431388","24984564","25898320","270299982887.01001","1109500","Colombia",1,1,1,0,1
"15","Costa Rica","CRI",2020,"5094114","979547","4114567","2545076","2549038","62158002233.027901","51060","Costa Rica",1,1,1,0,1
"16","Cuba","CUB",2020,"11326616","2583148","8743468","5623468","5703148","107352000000","104100","Cuba",1,1,1,1,0
"17","Cuba","CUB",2020,"11326616","2583148","8743468","5623468","5703148","107352000000","104040","Cuba",1,1,1,1,0
"18","Cuba","CUB",2020,"11326616","2583148","8743468","5623468","5703148","107352000000","103800","Cuba",1,1,1,1,0
"19","Curacao","CUW",2020,"154947","16948","137999","71260","83687","2496174735.6470199","444","Curazao",0,1,0,0,0
"21","Dominica","DMA",2020,"71991","20813","51178","..","..","504214814.81481498","750","Dominica",1,1,1,1,0
"22","Dominican Republic","DOM",2020,"10847904","1894044","8953860","5418206","5429698","78844702329.078506","48310","República Dominicana",1,1,1,1,1
"23","Ecuador","ECU",2020,"17643060","6322214","11320846","8823827","8819233","99291124000","248360","Ecuador",1,1,1,0,1
"24","El Salvador","SLV",2020,"6486201","1722476","4763725","3036424","3449777","24638720000","20720","El Salvador",1,1,1,0,1
"25","Grenada","GRD",2020,"112519","71408","41111","56666","55853","1043411111.11111","340","Granada",1,1,1,1,0
"26","Guatemala","GTM",2020,"16858333","8119648","8738685","8306203","8552130","77604632620.647293","107160","Guatemala",1,1,1,0,1
"27","Guyana","GUY",2020,"786559","575871","210688","395549","391010","5471256594.7242203","196850","Guyana",1,1,1,1,1
"28","Haiti","HTI",2020,"11402533","4893055","6509478","5626445","5776088","14508218017.4032","27560","Haití",1,1,1,1,1
"29","Honduras","HND",2020,"9904608","4124378","5780230","4948880","4955728","23827840809.701401","111890","Honduras",1,1,1,0,1
"30","Jamaica","JAM",2020,"2961161","1293702","1667459","1469641","1491520","13812425036.586399","10830","Jamaica",1,1,1,1,1
"31","Mexico","MEX",2020,"128932753","24844052","104088701","63071486","65861267","1087117783073.3101","1943950","México",1,1,1,0,1
"32","Puerto Rico","PRI",2020,"3281538","210642","3070896","1554852","1726686","103138300000","8870","Puerto Rico",0,1,0,1,0
"33","Turks and Caicos Islands","TCA",2020,"38718","2476","36242","..","..","924583000","950","Islas Turcas y Caicos",0,1,0,0,0
