"","country","iso3","year","pop_total","pop_rural","pop_urban"
"1","Antigua and Barbuda","ATG",2015,"93571","70178","23393"
"2","Antigua and Barbuda","ATG",2016,"94520","71036","23484"
"3","Antigua and Barbuda","ATG",2017,"95425","71843","23582"
"4","Antigua and Barbuda","ATG",2018,"96282","72598","23684"
"5","Antigua and Barbuda","ATG",2019,"97115","73316","23799"
"6","Antigua and Barbuda","ATG",2020,"97928","74001","23927"
"7","Antigua and Barbuda","ATG",2021,"98728","74658","24070"
"8","Antigua and Barbuda","ATG",2022,"100000","75000","24000"
"9","Antigua and Barbuda","ATG",2023,"100000","76000","24000"
"10","Antigua and Barbuda","ATG",2024,"101000","76000","25000"
"11","Antigua and Barbuda","ATG",2025,"102000","77000","25000"
"12","Antigua and Barbuda","ATG",2026,"102000","77000","25000"
"13","Antigua and Barbuda","ATG",2027,"103000","78000","25000"
"14","Antigua and Barbuda","ATG",2028,"104000","78000","25000"
"15","Antigua and Barbuda","ATG",2029,"104000","79000","26000"
"16","Antigua and Barbuda","ATG",2030,"105000","79000","26000"
"17","Argentina","ARG",2015,"43131966","3664923","39467043"
"18","Argentina","ARG",2016,"43590368","3649822","39940546"
"19","Argentina","ARG",2017,"44044811","3634137","40410674"
"20","Argentina","ARG",2018,"44494502","3617403","40877099"
"21","Argentina","ARG",2019,"44938712","3599141","41339571"
"22","Argentina","ARG",2020,"45376763","3579773","41796990"
"23","Argentina","ARG",2021,"45808747","3559798","42248949"
"24","Argentina","ARG",2022,"46210000","3536000","42674000"
"25","Argentina","ARG",2023,"46607000","3513000","43094000"
"26","Argentina","ARG",2024,"47000000","3488000","43512000"
"27","Argentina","ARG",2025,"47387000","3463000","43924000"
"28","Argentina","ARG",2026,"47769000","3436000","44332000"
"29","Argentina","ARG",2027,"48145000","3409000","44736000"
"30","Argentina","ARG",2028,"48515000","3382000","45134000"
"31","Argentina","ARG",2029,"48879000","3353000","45526000"
"32","Argentina","ARG",2030,"49237000","3324000","45913000"
"33","Aruba","ABW",2015,"104339","59361","44978"
"34","Aruba","ABW",2016,"104865","59572","45293"
"35","Aruba","ABW",2017,"105361","59747","45614"
"36","Aruba","ABW",2018,"105846","59897","45949"
